,Latitude,Longitude,Depth,Magnitude,Root Mean Square,Status,Month,Day,Year,Hour
Latitude,1.0,0.203718773242255,-0.08102295020012769,0.03504092191966066,-0.18205467605206418,-0.10111537176661742,-0.005717354352457405,-0.0019095890661827303,-0.07631977941021865,-0.010093913378275794
Longitude,0.203718773242255,1.0,-0.08611818959354965,0.03851743773504123,-0.024233879040156427,-0.04174776333387798,-0.008631474257169584,-0.009737472494687616,-0.03758498438172421,-0.014265001093827973
Depth,-0.08102295020012769,-0.08611818959354965,1.0,0.023558047394212946,-0.11917989330299722,0.0036175573274278804,0.002020761728791641,0.008358310236861718,-0.023798395017418095,0.010554000162540995
Magnitude,0.03504092191966066,0.03851743773504123,0.023558047394212946,1.0,0.06507901659448914,-0.10388247586995586,0.001094874979268851,-0.001964142332246005,-0.0320874013847033,0.004433388167189451
Root Mean Square,-0.18205467605206418,-0.024233879040156427,-0.11917989330299722,0.06507901659448914,1.0,-2.9482674934998834e-05,-0.0017318722274862863,-0.007302684563189443,-0.1474055331182225,0.00549101070983604
Status,-0.10111537176661742,-0.04174776333387798,0.0036175573274278804,-0.10388247586995586,-2.9482674934998834e-05,1.0,0.006994982102496587,0.0028058488666263307,0.5760356372355427,0.003976186445197102
Month,-0.005717354352457405,-0.008631474257169584,0.002020761728791641,0.001094874979268851,-0.0017318722274862863,0.006994982102496587,1.0,0.019975296768909342,-0.004662258512541259,0.005245051178789642
Day,-0.0019095890661827303,-0.009737472494687616,0.008358310236861718,-0.001964142332246005,-0.007302684563189443,0.0028058488666263307,0.019975296768909342,1.0,-0.011922571673827972,0.011595305650328422
Year,-0.07631977941021865,-0.03758498438172421,-0.023798395017418095,-0.0320874013847033,-0.1474055331182225,0.5760356372355427,-0.004662258512541259,-0.011922571673827972,1.0,0.0018136762515888122
Hour,-0.010093913378275794,-0.014265001093827973,0.010554000162540995,0.004433388167189451,0.00549101070983604,0.003976186445197102,0.005245051178789642,0.011595305650328422,0.0018136762515888122,1.0
